#mc_id,pct_full,cell_generation,num_cells
0,0.25,0,1
0,0.25,1,4
0,0.25,2,9
0,0.25,3,14
0,0.25,4,24
0,0.25,5,23
0,0.25,6,34
0,0.25,7,37
0,0.25,8,43
0,0.25,9,52
0,0.25,10,48
0,0.25,11,56
0,0.25,12,59
0,0.25,13,62
0,0.25,14,71
0,0.25,15,68
0,0.25,16,81
0,0.25,17,73
0,0.25,18,57
0,0.25,19,56
0,0.25,20,48
0,0.25,21,44
0,0.25,22,28
0,0.25,23,15
0,0.25,24,12
0,0.25,25,4
0,0.25,26,1
0,0.5,0,1
0,0.5,1,4
0,0.5,2,9
0,0.5,3,14
0,0.5,4,24
0,0.5,5,23
0,0.5,6,34
0,0.5,7,37
0,0.5,8,43
0,0.5,9,52
0,0.5,10,48
0,0.5,11,56
0,0.5,12,59
0,0.5,13,62
0,0.5,14,72
0,0.5,15,69
0,0.5,16,84
0,0.5,17,83
0,0.5,18,83
0,0.5,19,82
0,0.5,20,90
0,0.5,21,98
0,0.5,22,106
0,0.5,23,108
0,0.5,24,103
0,0.5,25,110
0,0.5,26,108
0,0.5,27,102
0,0.5,28,83
0,0.5,29,61
0,0.5,30,51
0,0.5,31,36
0,0.5,32,31
0,0.5,33,16
0,0.5,34,5
0,0.5,35,1
0,0.75,0,1
0,0.75,1,4
0,0.75,2,9
0,0.75,3,14
0,0.75,4,24
0,0.75,5,23
0,0.75,6,34
0,0.75,7,37
0,0.75,8,43
0,0.75,9,52
0,0.75,10,48
0,0.75,11,56
0,0.75,12,59
0,0.75,13,62
0,0.75,14,72
0,0.75,15,69
0,0.75,16,84
0,0.75,17,83
0,0.75,18,83
0,0.75,19,82
0,0.75,20,90
0,0.75,21,98
0,0.75,22,106
0,0.75,23,114
0,0.75,24,109
0,0.75,25,121
0,0.75,26,127
0,0.75,27,141
0,0.75,28,136
0,0.75,29,127
0,0.75,30,135
0,0.75,31,138
0,0.75,32,148
0,0.75,33,145
0,0.75,34,108
0,0.75,35,95
0,0.75,36,78
0,0.75,37,57
0,0.75,38,29
0,0.75,39,15
0,0.75,40,7
0,0.75,41,5
0,0.75,42,3
0,0.75,43,1
0,1,0,1
0,1,1,4
0,1,2,9
0,1,3,14
0,1,4,24
0,1,5,23
0,1,6,34
0,1,7,37
0,1,8,43
0,1,9,52
0,1,10,48
0,1,11,56
0,1,12,59
0,1,13,62
0,1,14,72
0,1,15,69
0,1,16,84
0,1,17,83
0,1,18,83
0,1,19,82
0,1,20,90
0,1,21,98
0,1,22,106
0,1,23,114
0,1,24,109
0,1,25,121
0,1,26,127
0,1,27,141
0,1,28,136
0,1,29,128
0,1,30,139
0,1,31,145
0,1,32,167
0,1,33,183
0,1,34,156
0,1,35,164
0,1,36,163
0,1,37,157
0,1,38,135
0,1,39,122
0,1,40,97
0,1,41,79
0,1,42,65
0,1,43,66
0,1,44,55
0,1,45,33
0,1,46,22
0,1,47,16
0,1,48,8
0,1,49,5
0,1,50,4
0,1,51,2
0,1,52,3
0,1,53,1
1,0.25,0,1
1,0.25,1,3
1,0.25,2,6
1,0.25,3,9
1,0.25,4,15
1,0.25,5,20
1,0.25,6,18
1,0.25,7,24
1,0.25,8,29
1,0.25,9,32
1,0.25,10,37
1,0.25,11,47
1,0.25,12,54
1,0.25,13,57
1,0.25,14,62
1,0.25,15,67
1,0.25,16,66
1,0.25,17,71
1,0.25,18,71
1,0.25,19,78
1,0.25,20,62
1,0.25,21,56
1,0.25,22,44
1,0.25,23,35
1,0.25,24,31
1,0.25,25,16
1,0.25,26,8
1,0.25,27,3
1,0.25,28,2
1,0.5,0,1
1,0.5,1,3
1,0.5,2,6
1,0.5,3,9
1,0.5,4,15
1,0.5,5,20
1,0.5,6,18
1,0.5,7,24
1,0.5,8,29
1,0.5,9,32
1,0.5,10,37
1,0.5,11,47
1,0.5,12,54
1,0.5,13,57
1,0.5,14,62
1,0.5,15,68
1,0.5,16,66
1,0.5,17,72
1,0.5,18,74
1,0.5,19,89
1,0.5,20,85
1,0.5,21,91
1,0.5,22,105
1,0.5,23,116
1,0.5,24,114
1,0.5,25,126
1,0.5,26,115
1,0.5,27,115
1,0.5,28,113
1,0.5,29,96
1,0.5,30,56
1,0.5,31,47
1,0.5,32,38
1,0.5,33,25
1,0.5,34,20
1,0.5,35,3
1,0.75,0,1
1,0.75,1,3
1,0.75,2,6
1,0.75,3,9
1,0.75,4,15
1,0.75,5,20
1,0.75,6,18
1,0.75,7,24
1,0.75,8,29
1,0.75,9,32
1,0.75,10,37
1,0.75,11,47
1,0.75,12,54
1,0.75,13,57
1,0.75,14,62
1,0.75,15,68
1,0.75,16,66
1,0.75,17,72
1,0.75,18,74
1,0.75,19,89
1,0.75,20,85
1,0.75,21,91
1,0.75,22,105
1,0.75,23,116
1,0.75,24,114
1,0.75,25,129
1,0.75,26,126
1,0.75,27,126
1,0.75,28,128
1,0.75,29,137
1,0.75,30,121
1,0.75,31,143
1,0.75,32,144
1,0.75,33,135
1,0.75,34,132
1,0.75,35,131
1,0.75,36,118
1,0.75,37,88
1,0.75,38,61
1,0.75,39,35
1,0.75,40,14
1,0.75,41,7
1,0.75,42,3
1,1,0,1
1,1,1,3
1,1,2,6
1,1,3,9
1,1,4,15
1,1,5,20
1,1,6,18
1,1,7,24
1,1,8,29
1,1,9,32
1,1,10,37
1,1,11,47
1,1,12,54
1,1,13,57
1,1,14,62
1,1,15,68
1,1,16,66
1,1,17,72
1,1,18,74
1,1,19,89
1,1,20,85
1,1,21,91
1,1,22,105
1,1,23,116
1,1,24,114
1,1,25,129
1,1,26,126
1,1,27,126
1,1,28,128
1,1,29,137
1,1,30,122
1,1,31,145
1,1,32,149
1,1,33,150
1,1,34,158
1,1,35,175
1,1,36,170
1,1,37,160
1,1,38,150
1,1,39,137
1,1,40,129
1,1,41,101
