#mc_id,pct_full,cell_generation,num_cells
0,0.25,0,1
0,0.25,1,3
0,0.25,2,7
0,0.25,3,8
0,0.25,4,11
0,0.25,5,13
0,0.25,6,6
0,0.25,7,8
0,0.25,8,5
0,0.25,9,2
0,0.5,0,1
0,0.5,1,3
0,0.5,2,7
0,0.5,3,8
0,0.5,4,12
0,0.5,5,17
0,0.5,6,21
0,0.5,7,22
0,0.5,8,16
0,0.5,9,10
0,0.5,10,6
0,0.5,11,4
0,0.5,12,1
0,0.75,0,1
0,0.75,1,3
0,0.75,2,7
0,0.75,3,8
0,0.75,4,12
0,0.75,5,17
0,0.75,6,25
0,0.75,7,30
0,0.75,8,34
0,0.75,9,22
0,0.75,10,13
0,0.75,11,13
0,0.75,12,4
0,0.75,13,3
0,1,0,1
0,1,1,3
0,1,2,7
0,1,3,8
0,1,4,12
0,1,5,17
0,1,6,25
0,1,7,32
0,1,8,41
0,1,9,36
0,1,10,26
0,1,11,22
0,1,12,16
0,1,13,8
0,1,14,2
1,0.25,0,1
1,0.25,1,4
1,0.25,2,9
1,0.25,3,14
1,0.25,4,16
1,0.25,5,10
1,0.25,6,6
1,0.25,7,3
1,0.25,8,1
1,0.5,0,1
1,0.5,1,4
1,0.5,2,9
1,0.5,3,15
1,0.5,4,20
1,0.5,5,19
1,0.5,6,22
1,0.5,7,13
1,0.5,8,14
1,0.5,9,9
1,0.5,10,2
1,0.75,0,1
1,0.75,1,4
1,0.75,2,9
1,0.75,3,15
1,0.75,4,20
1,0.75,5,22
1,0.75,6,25
1,0.75,7,25
1,0.75,8,25
1,0.75,9,23
1,0.75,10,13
1,0.75,11,7
1,0.75,12,3
1,1,0,1
1,1,1,4
1,1,2,9
1,1,3,15
1,1,4,20
1,1,5,22
1,1,6,27
1,1,7,28
1,1,8,32
1,1,9,32
1,1,10,27
1,1,11,18
1,1,12,15
1,1,13,3
1,1,14,2
1,1,15,1
2,0.25,0,1
2,0.25,1,5
2,0.25,2,6
2,0.25,3,8
2,0.25,4,13
2,0.25,5,15
2,0.25,6,12
2,0.25,7,4
2,0.5,0,1
2,0.5,1,5
2,0.5,2,6
2,0.5,3,9
2,0.5,4,14
2,0.5,5,18
2,0.5,6,21
2,0.5,7,23
2,0.5,8,20
2,0.5,9,9
2,0.5,10,2
2,0.75,0,1
2,0.75,1,5
2,0.75,2,6
2,0.75,3,9
2,0.75,4,14
2,0.75,5,18
2,0.75,6,22
2,0.75,7,28
2,0.75,8,36
2,0.75,9,26
2,0.75,10,17
2,0.75,11,9
2,0.75,12,1
2,1,0,1
2,1,1,5
2,1,2,6
2,1,3,9
2,1,4,14
2,1,5,18
2,1,6,22
2,1,7,28
2,1,8,43
2,1,9,35
2,1,10,23
2,1,11,23
2,1,12,11
2,1,13,7
2,1,14,4
2,1,15,4
2,1,16,1
2,1,17,2
3,0.25,0,1
3,0.25,1,4
3,0.25,2,5
3,0.25,3,10
3,0.25,4,12
3,0.25,5,12
3,0.25,6,13
3,0.25,7,5
3,0.25,8,2
3,0.5,0,1
3,0.5,1,4
3,0.5,2,5
3,0.5,3,10
3,0.5,4,14
3,0.5,5,16
3,0.5,6,23
3,0.5,7,23
3,0.5,8,16
3,0.5,9,11
3,0.5,10,4
3,0.5,11,1
3,0.75,0,1
3,0.75,1,4
3,0.75,2,5
3,0.75,3,10
3,0.75,4,14
3,0.75,5,17
3,0.75,6,24
3,0.75,7,33
3,0.75,8,31
3,0.75,9,27
3,0.75,10,18
3,0.75,11,7
3,0.75,12,1
3,1,0,1
3,1,1,4
3,1,2,5
3,1,3,10
3,1,4,14
3,1,5,17
3,1,6,24
3,1,7,34
3,1,8,34
3,1,9,39
3,1,10,34
3,1,11,21
3,1,12,8
3,1,13,4
3,1,14,3
3,1,15,2
3,1,16,2
4,0.25,0,1
4,0.25,1,5
4,0.25,2,9
4,0.25,3,14
4,0.25,4,14
4,0.25,5,11
4,0.25,6,7
4,0.25,7,2
4,0.25,8,1
4,0.5,0,1
4,0.5,1,5
4,0.5,2,9
4,0.5,3,16
4,0.5,4,18
4,0.5,5,21
4,0.5,6,18
4,0.5,7,20
4,0.5,8,15
4,0.5,9,5
4,0.75,0,1
4,0.75,1,5
4,0.75,2,9
4,0.75,3,16
4,0.75,4,18
4,0.75,5,27
4,0.75,6,23
4,0.75,7,28
4,0.75,8,30
4,0.75,9,22
4,0.75,10,10
4,0.75,11,3
4,1,0,1
4,1,1,5
4,1,2,9
4,1,3,16
4,1,4,18
4,1,5,27
4,1,6,25
4,1,7,30
4,1,8,34
4,1,9,32
4,1,10,20
4,1,11,13
4,1,12,14
4,1,13,8
4,1,14,3
4,1,15,1
5,0.25,0,1
5,0.25,1,4
5,0.25,2,6
5,0.25,3,13
5,0.25,4,17
5,0.25,5,15
5,0.25,6,6
5,0.25,7,2
5,0.5,0,1
5,0.5,1,4
5,0.5,2,6
5,0.5,3,13
5,0.5,4,20
5,0.5,5,25
5,0.5,6,23
5,0.5,7,22
5,0.5,8,12
5,0.5,9,2
5,0.75,0,1
5,0.75,1,4
5,0.75,2,6
5,0.75,3,13
5,0.75,4,20
5,0.75,5,25
5,0.75,6,24
5,0.75,7,29
5,0.75,8,25
5,0.75,9,23
5,0.75,10,17
5,0.75,11,5
5,1,0,1
5,1,1,4
5,1,2,6
5,1,3,13
5,1,4,20
5,1,5,25
5,1,6,25
5,1,7,29
5,1,8,30
5,1,9,28
5,1,10,34
5,1,11,22
5,1,12,10
5,1,13,4
5,1,14,3
5,1,15,2
6,0.25,0,1
6,0.25,1,5
6,0.25,2,10
6,0.25,3,14
6,0.25,4,14
6,0.25,5,11
6,0.25,6,4
6,0.25,7,4
6,0.25,8,1
6,0.5,0,1
6,0.5,1,5
6,0.5,2,10
6,0.5,3,15
6,0.5,4,20
6,0.5,5,24
6,0.5,6,19
6,0.5,7,18
6,0.5,8,10
6,0.5,9,5
6,0.5,10,1
6,0.75,0,1
6,0.75,1,5
6,0.75,2,10
6,0.75,3,15
6,0.75,4,21
6,0.75,5,27
6,0.75,6,26
6,0.75,7,31
6,0.75,8,24
6,0.75,9,17
6,0.75,10,9
6,0.75,11,4
6,0.75,12,2
6,1,0,1
6,1,1,5
6,1,2,10
6,1,3,15
6,1,4,21
6,1,5,27
6,1,6,26
6,1,7,33
6,1,8,34
6,1,9,31
6,1,10,20
6,1,11,13
6,1,12,10
6,1,13,8
6,1,14,2
7,0.25,0,1
7,0.25,1,4
7,0.25,2,9
7,0.25,3,11
7,0.25,4,13
7,0.25,5,13
7,0.25,6,7
7,0.25,7,3
7,0.25,8,2
7,0.25,9,1
7,0.5,0,1
7,0.5,1,4
7,0.5,2,9
7,0.5,3,11
7,0.5,4,16
7,0.5,5,21
7,0.5,6,25
7,0.5,7,18
7,0.5,8,12
7,0.5,9,6
7,0.5,10,4
7,0.5,11,1
7,0.75,0,1
7,0.75,1,4
7,0.75,2,9
7,0.75,3,11
7,0.75,4,16
7,0.75,5,23
7,0.75,6,29
7,0.75,7,27
7,0.75,8,29
7,0.75,9,18
7,0.75,10,9
7,0.75,11,6
7,0.75,12,4
7,0.75,13,4
7,0.75,14,1
7,0.75,15,1
7,1,0,1
7,1,1,4
7,1,2,9
7,1,3,11
7,1,4,16
7,1,5,23
7,1,6,29
7,1,7,29
7,1,8,32
7,1,9,31
7,1,10,22
7,1,11,14
7,1,12,11
7,1,13,11
7,1,14,6
7,1,15,6
7,1,16,1
8,0.25,0,1
8,0.25,1,4
8,0.25,2,11
8,0.25,3,15
8,0.25,4,16
8,0.25,5,5
8,0.25,6,6
8,0.25,7,3
8,0.25,8,1
8,0.25,9,2
8,0.5,0,1
8,0.5,1,4
8,0.5,2,11
8,0.5,3,16
8,0.5,4,21
8,0.5,5,21
8,0.5,6,20
8,0.5,7,13
8,0.5,8,8
8,0.5,9,6
8,0.5,10,3
8,0.5,11,4
8,0.75,0,1
8,0.75,1,4
8,0.75,2,12
8,0.75,3,16
8,0.75,4,22
8,0.75,5,23
8,0.75,6,27
8,0.75,7,26
8,0.75,8,30
8,0.75,9,16
8,0.75,10,7
8,0.75,11,6
8,0.75,12,2
8,1,0,1
8,1,1,4
8,1,2,12
8,1,3,16
8,1,4,22
8,1,5,23
8,1,6,28
8,1,7,30
8,1,8,37
8,1,9,29
8,1,10,21
8,1,11,15
8,1,12,8
8,1,13,5
8,1,14,5
9,0.25,0,1
9,0.25,1,3
9,0.25,2,8
9,0.25,3,13
9,0.25,4,14
9,0.25,5,12
9,0.25,6,8
9,0.25,7,4
9,0.25,8,1
9,0.5,0,1
9,0.5,1,3
9,0.5,2,8
9,0.5,3,13
9,0.5,4,20
9,0.5,5,18
9,0.5,6,20
9,0.5,7,16
9,0.5,8,14
9,0.5,9,10
9,0.5,10,4
9,0.5,11,1
9,0.75,0,1
9,0.75,1,3
9,0.75,2,8
9,0.75,3,13
9,0.75,4,20
9,0.75,5,18
9,0.75,6,23
9,0.75,7,24
9,0.75,8,23
9,0.75,9,26
9,0.75,10,19
9,0.75,11,11
9,0.75,12,2
9,0.75,13,1
9,1,0,1
9,1,1,3
9,1,2,8
9,1,3,13
9,1,4,20
9,1,5,18
9,1,6,23
9,1,7,26
9,1,8,30
9,1,9,32
9,1,10,28
9,1,11,21
9,1,12,13
9,1,13,8
9,1,14,5
9,1,15,6
9,1,16,1
10,0.25,0,1
10,0.25,1,2
10,0.25,2,6
10,0.25,3,10
10,0.25,4,13
10,0.25,5,12
10,0.25,6,10
