"","mc_size","num_ones","generation","frac_of_pop"
"1",16,0,0,0
"2",16,1,0,0
"3",16,2,0,0
"4",16,3,0,0
"5",16,4,0,0
"6",16,5,0,0
"7",16,6,0,0
"8",16,7,0,0
"9",16,8,0,0
"10",16,9,0,0
"11",16,10,0,0
"12",16,11,0,0
"13",16,12,0,0
"14",16,13,0,0
"15",16,14,0,0
"16",16,15,0,0
"17",16,16,0,0
"18",16,17,0,0
"19",16,18,0,0
"20",16,19,0,0
"21",16,20,0,0
"22",16,21,0,0
"23",16,22,0,0
"24",16,23,0,0
"25",16,24,0,0
"26",16,25,0,0
"27",16,26,0,0
"28",16,27,0,0
"29",16,28,0,0
"30",16,29,0,0
"31",16,30,0,0
"32",16,31,0,0
"33",16,32,0,0
"34",16,33,0,0
"35",16,34,0,0
"36",16,35,0,0
"37",16,36,0,0
"38",16,37,0,0
"39",16,38,0,0
"40",16,39,0,0
"41",16,40,0,0
"42",16,41,0,0
"43",16,42,0,0
"44",16,43,0,0
"45",16,44,0,0
"46",16,45,0,0
"47",16,46,0,0
"48",16,47,0,0
"49",16,48,0,0
"50",16,49,0,0
"51",16,50,0,0
"52",16,51,0,0
"53",16,52,0,0
"54",16,53,0,0
"55",16,54,0,0
"56",16,55,0,0
"57",16,56,0,0
"58",16,57,0,0
"59",16,58,0,0
"60",16,59,0,0
"61",16,60,0,1
"62",16,61,0,0
"63",16,62,0,0
"64",16,63,0,0
"65",16,64,0,0
"66",16,65,0,0
"67",16,66,0,0
"68",16,67,0,0
"69",16,68,0,0
"70",16,69,0,0
"71",16,70,0,0
"72",16,71,0,0
"73",16,72,0,0
"74",16,73,0,0
"75",16,74,0,0
"76",16,75,0,0
"77",16,76,0,0
"78",16,77,0,0
"79",16,78,0,0
"80",16,79,0,0
"81",16,80,0,0
"82",16,81,0,0
"83",16,82,0,0
"84",16,83,0,0
"85",16,84,0,0
"86",16,85,0,0
"87",16,86,0,0
"88",16,87,0,0
"89",16,88,0,0
"90",16,89,0,0
"91",16,90,0,0
"92",16,91,0,0
"93",16,92,0,0
"94",16,93,0,0
"95",16,94,0,0
"96",16,95,0,0
"97",16,96,0,0
"98",16,97,0,0
"99",16,98,0,0
"100",16,99,0,0
"101",16,100,0,0
"102",16,0,500,3.70649867439943e-93
"103",16,1,500,4.16261562767151e-91
"104",16,2,500,1.4770346262641e-88
"105",16,3,500,3.28833770712006e-86
"106",16,4,500,4.95959178829261e-84
"107",16,5,500,6.60024889395103e-82
"108",16,6,500,6.84240825902442e-80
"109",16,7,500,5.43747075036754e-78
"110",16,8,500,4.67132245024749e-76
"111",16,9,500,3.12471880523768e-74
"112",16,10,500,1.81071272846958e-72
"113",16,11,500,7.55699695480638e-71
"114",16,12,500,2.70692188419879e-69
"115",16,13,500,1.06384795391993e-67
"116",16,14,500,4.06468529824181e-66
"117",16,15,500,1.46516604920889e-64
"118",16,16,500,4.98985530417483e-63
"119",16,17,500,1.3093207611519e-61
"120",16,18,500,3.84237910283495e-60
"121",16,19,500,9.7465569663716e-59
"122",16,20,500,2.01149944807279e-57
"123",16,21,500,4.15817094078911e-56
"124",16,22,500,7.58982318721257e-55
"125",16,23,500,1.61731079694823e-53
