"","mc_size","num_ones","generation","frac_of_pop"
"1",256,0,0,0
"2",256,1,0,0
"3",256,2,0,0
"4",256,3,0,0
"5",256,4,0,0
"6",256,5,0,0
"7",256,6,0,0
"8",256,7,0,0
"9",256,8,0,0
"10",256,9,0,0
"11",256,10,0,0
"12",256,11,0,0
"13",256,12,0,0
"14",256,13,0,0
"15",256,14,0,0
"16",256,15,0,0
"17",256,16,0,0
"18",256,17,0,0
"19",256,18,0,0
"20",256,19,0,0
"21",256,20,0,0
"22",256,21,0,0
"23",256,22,0,0
"24",256,23,0,0
"25",256,24,0,0
"26",256,25,0,0
"27",256,26,0,0
"28",256,27,0,0
"29",256,28,0,0
"30",256,29,0,0
"31",256,30,0,0
"32",256,31,0,0
"33",256,32,0,0
"34",256,33,0,0
"35",256,34,0,0
"36",256,35,0,0
"37",256,36,0,0
"38",256,37,0,0
"39",256,38,0,0
"40",256,39,0,0
"41",256,40,0,0
"42",256,41,0,0
"43",256,42,0,0
"44",256,43,0,0
"45",256,44,0,0
"46",256,45,0,0
"47",256,46,0,0
"48",256,47,0,0
"49",256,48,0,0
"50",256,49,0,0
"51",256,50,0,0
"52",256,51,0,0
"53",256,52,0,0
"54",256,53,0,0
"55",256,54,0,0
"56",256,55,0,0
"57",256,56,0,0
"58",256,57,0,0
"59",256,58,0,0
"60",256,59,0,0
"61",256,60,0,1
"62",256,61,0,0
"63",256,62,0,0
"64",256,63,0,0
"65",256,64,0,0
"66",256,65,0,0
"67",256,66,0,0
"68",256,67,0,0
"69",256,68,0,0
"70",256,69,0,0
"71",256,70,0,0
"72",256,71,0,0
"73",256,72,0,0
"74",256,73,0,0
"75",256,74,0,0
"76",256,75,0,0
"77",256,76,0,0
"78",256,77,0,0
"79",256,78,0,0
"80",256,79,0,0
"81",256,80,0,0
"82",256,81,0,0
"83",256,82,0,0
"84",256,83,0,0
"85",256,84,0,0
"86",256,85,0,0
"87",256,86,0,0
"88",256,87,0,0
"89",256,88,0,0
"90",256,89,0,0
"91",256,90,0,0
"92",256,91,0,0
"93",256,92,0,0
"94",256,93,0,0
"95",256,94,0,0
"96",256,95,0,0
"97",256,96,0,0
"98",256,97,0,0
"99",256,98,0,0
"100",256,99,0,0
"101",256,100,0,0
"102",256,0,500,4.32992423809336e-68
"103",256,1,500,4.82191988015201e-66
"104",256,2,500,1.6043166295359e-63
"105",256,3,500,3.47124275762577e-61
"106",256,4,500,5.40440345508689e-59
"107",256,5,500,6.76963383387753e-57
"108",256,6,500,6.80156722353072e-55
"109",256,7,500,5.74354864805411e-53
"110",256,8,500,4.24519179858414e-51
"111",256,9,500,2.72532703040275e-49
"112",256,10,500,1.55411922186144e-47
"113",256,11,500,7.67261883126387e-46
"114",256,12,500,3.39886557447886e-44
"115",256,13,500,1.38396153844259e-42
"116",256,14,500,5.10204235882773e-41
"117",256,15,500,1.73361578790615e-39
"118",256,16,500,5.41617902477053e-38
"119",256,17,500,1.56074252289364e-36
"120",256,18,500,4.03369312875772e-35
"121",256,19,500,9.81861980850478e-34
"122",256,20,500,2.16944239155765e-32
"123",256,21,500,4.43076655857623e-31
"124",256,22,500,8.60270951358787e-30
"125",256,23,500,1.47449856391313e-28
"126",256,24,500,2.44219357279229e-27
"127",256,25,500,3.88932008427935e-26
"128",256,26,500,5.76568845190267e-25
"129",256,27,500,7.93975664982546e-24
"130",256,28,500,1.05490495762512e-22
"131",256,29,500,1.25322570411129e-21
"132",256,30,500,1.39992848959909e-20
"133",256,31,500,1.49867511829988e-19
"134",256,32,500,1.51275438528995e-18
"135",256,33,500,1.44455677660326e-17
"136",256,34,500,1.1848410839492e-16
"137",256,35,500,8.86320353097312e-16
"138",256,36,500,6.68004715663131e-15
"139",256,37,500,4.42118401732631e-14
"140",256,38,500,2.74790556600289e-13
"141",256,39,500,1.7462111726801e-12
"142",256,40,500,1.06777289189581e-11
"143",256,41,500,5.93445126938838e-11
"144",256,42,500,2.84231833852989e-10
"145",256,43,500,1.29875404351325e-09
"146",256,44,500,5.77821051747375e-09
"147",256,45,500,2.43066608504021e-08
"148",256,46,500,8.4066292063006e-08
"149",256,47,500,3.02832962552689e-07
"150",256,48,500,1.07798429045017e-06
"151",256,49,500,3.20455096343143e-06
"152",256,50,500,9.4737612640473e-06
"153",256,51,500,2.60826307475804e-05
"154",256,52,500,6.63526723454438e-05
"155",256,53,500,0.000130602713614977
"156",256,54,500,0.000283123613206346
"157",256,55,500,0.000610973366263185
"158",256,56,500,0.00132809553038908
"159",256,57,500,0.00281093999200909
"160",256,58,500,0.00539956495318768
"161",256,59,500,0.0115180532236428
"162",256,60,500,0.0238511958726908
"163",256,61,500,0.0464668925641067
"164",256,62,500,0.0826112157655031
"165",256,63,500,0.107160610292102
"166",256,64,500,0.144655404422041
"167",256,65,500,0.170717204834319
"168",256,66,500,0.137094891953139
"169",256,67,500,0.115447787989358
"170",256,68,500,0.0722370071701938
"171",256,69,500,0.0361798832872134
"172",256,70,500,0.0226215244198484
"173",256,71,500,0.0113789551251302
"174",256,72,500,0.0050137779790348
"175",256,73,500,0.00163101685315196
"176",256,74,500,0.000532628403507958
"177",256,75,500,0.000154475532103467
"178",256,76,500,4.41626976106209e-05
"179",256,77,500,1.07990039154956e-05
"180",256,78,500,2.13935071154385e-06
"181",256,79,500,3.82969794896999e-07
"182",256,80,500,6.82795079374399e-08
"183",256,81,500,1.00648889052319e-08
"184",256,82,500,1.36103630270136e-09
"185",256,83,500,1.60270940192606e-10
"186",256,84,500,1.60806052351822e-11
"187",256,85,500,1.47217826356486e-12
"188",256,86,500,1.25900337627519e-13
"189",256,87,500,9.36632677750291e-15
"190",256,88,500,6.0727145946281e-16
"191",256,89,500,3.62619149803693e-17
"192",256,90,500,1.92440776539668e-18
"193",256,91,500,8.4500562619785e-20
"194",256,92,500,3.39863473500364e-21
"195",256,93,500,1.1582326840711e-22
"196",256,94,500,3.25818946843342e-24
"197",256,95,500,7.37874726317151e-26
"198",256,96,500,1.38086754962264e-27
"199",256,97,500,2.01525248135298e-29
"200",256,98,500,2.03605722408955e-31
"201",256,99,500,1.34981447317818e-33
"202",256,100,500,2.59385462358852e-35
"203",256,0,1000,4.52653285241847e-61
"204",256,1,1000,4.73103796799885e-59
"205",256,2,1000,7.67522642853539e-57
"206",256,3,1000,8.08985931343162e-55
"207",256,4,1000,5.97987901872015e-53
"208",256,5,1000,3.67051119067365e-51
"209",256,6,1000,1.77682500579331e-49
"210",256,7,1000,7.22844707055055e-48
"211",256,8,1000,2.6380281576242e-46
"212",256,9,1000,8.35212869596498e-45
"213",256,10,1000,2.38097270330306e-43
"214",256,11,1000,5.72860650282794e-42
"215",256,12,1000,1.23727500268767e-40
"216",256,13,1000,2.50982265663426e-39
"217",256,14,1000,4.60617090378557e-38
"218",256,15,1000,7.89175687474506e-37
"219",256,16,1000,1.25110649195261e-35
"220",256,17,1000,1.84642292087752e-34
"221",256,18,1000,2.38228851253234e-33
"222",256,19,1000,2.96106011550199e-32
"223",256,20,1000,3.29057537093779e-31
"224",256,21,1000,3.36769079776952e-30
"225",256,22,1000,3.37463681044822e-29
"226",256,23,1000,2.83901637529192e-28
"227",256,24,1000,2.38911412650756e-27
"228",256,25,1000,2.00079700583458e-26
"229",256,26,1000,1.56533199119074e-25
"230",256,27,1000,1.13353176351783e-24
"231",256,28,1000,8.19529003328383e-24
"232",256,29,1000,5.12728888350091e-23
"233",256,30,1000,3.03125257805114e-22
"234",256,31,1000,1.76254763598232e-21
"235",256,32,1000,9.79030918952213e-21
"236",256,33,1000,5.24628844994867e-20
"237",256,34,1000,2.26876244887636e-19
"238",256,35,1000,8.69760046070606e-19
"239",256,36,1000,3.61532135035847e-18
"240",256,37,1000,1.27948967776087e-17
"241",256,38,1000,4.2811800891648e-17
"242",256,39,1000,1.59600974028247e-16
"243",256,40,1000,6.02525887593497e-16
"244",256,41,1000,2.0922215632592e-15
"245",256,42,1000,6.12258415767993e-15
"246",256,43,1000,1.7897533891992e-14
"247",256,44,1000,5.51900795598175e-14
"248",256,45,1000,1.74253635493194e-13
"249",256,46,1000,4.75611976874065e-13
"250",256,47,1000,1.54374545282591e-12
"251",256,48,1000,5.58657127176915e-12
"252",256,49,1000,1.89860233592873e-11
"253",256,50,1000,7.13136265092064e-11
"254",256,51,1000,2.75178094730653e-10
"255",256,52,1000,1.07250167441751e-09
"256",256,53,1000,3.78811049427350e-09
"257",256,54,1000,1.50035499013537e-08
"258",256,55,1000,6.01954056878197e-08
"259",256,56,1000,2.43700618325568e-07
"260",256,57,1000,9.63898889810508e-07
