"","mc_size","num_ones","generation","frac_of_pop"
"1",128,0,0,0
"2",128,1,0,0
"3",128,2,0,0
"4",128,3,0,0
"5",128,4,0,0
"6",128,5,0,0
"7",128,6,0,0
"8",128,7,0,0
"9",128,8,0,0
"10",128,9,0,0
"11",128,10,0,0
"12",128,11,0,0
"13",128,12,0,0
"14",128,13,0,0
"15",128,14,0,0
"16",128,15,0,0
"17",128,16,0,0
"18",128,17,0,0
"19",128,18,0,0
"20",128,19,0,0
"21",128,20,0,0
"22",128,21,0,0
"23",128,22,0,0
"24",128,23,0,0
"25",128,24,0,0
"26",128,25,0,0
"27",128,26,0,0
"28",128,27,0,0
"29",128,28,0,0
"30",128,29,0,0
"31",128,30,0,0
"32",128,31,0,0
"33",128,32,0,0
"34",128,33,0,0
"35",128,34,0,0
"36",128,35,0,0
"37",128,36,0,0
"38",128,37,0,0
"39",128,38,0,0
"40",128,39,0,0
"41",128,40,0,0
"42",128,41,0,0
"43",128,42,0,0
"44",128,43,0,0
"45",128,44,0,0
"46",128,45,0,0
"47",128,46,0,0
"48",128,47,0,0
"49",128,48,0,0
"50",128,49,0,0
"51",128,50,0,0
"52",128,51,0,0
"53",128,52,0,0
"54",128,53,0,0
"55",128,54,0,0
"56",128,55,0,0
"57",128,56,0,0
"58",128,57,0,0
"59",128,58,0,0
"60",128,59,0,0
"61",128,60,0,1
"62",128,61,0,0
"63",128,62,0,0
"64",128,63,0,0
"65",128,64,0,0
"66",128,65,0,0
"67",128,66,0,0
"68",128,67,0,0
"69",128,68,0,0
"70",128,69,0,0
"71",128,70,0,0
"72",128,71,0,0
"73",128,72,0,0
"74",128,73,0,0
"75",128,74,0,0
"76",128,75,0,0
"77",128,76,0,0
"78",128,77,0,0
"79",128,78,0,0
"80",128,79,0,0
"81",128,80,0,0
"82",128,81,0,0
"83",128,82,0,0
"84",128,83,0,0
"85",128,84,0,0
"86",128,85,0,0
"87",128,86,0,0
"88",128,87,0,0
"89",128,88,0,0
"90",128,89,0,0
"91",128,90,0,0
"92",128,91,0,0
"93",128,92,0,0
"94",128,93,0,0
"95",128,94,0,0
"96",128,95,0,0
"97",128,96,0,0
"98",128,97,0,0
"99",128,98,0,0
"100",128,99,0,0
"101",128,100,0,0
"102",128,0,500,1.24937916773461e-72
"103",128,1,500,1.39118710264201e-70
"104",128,2,500,4.64186614407169e-68
"105",128,3,500,1.03519331384624e-65
"106",128,4,500,1.6511705437005e-63
"107",128,5,500,2.07071703313259e-61
"108",128,6,500,2.11301901446821e-59
"109",128,7,500,1.81414079843894e-57
"110",128,8,500,1.31510809060727e-55
"111",128,9,500,8.31431252216565e-54
"112",128,10,500,4.94514712506752e-52
"113",128,11,500,2.48033373174386e-50
"114",128,12,500,1.15319383591687e-48
"115",128,13,500,4.71824462459672e-47
"116",128,14,500,1.79997493103596e-45
"117",128,15,500,6.36645897686071e-44
"118",128,16,500,1.95991618179699e-42
"119",128,17,500,5.73765854467035e-41
"120",128,18,500,1.56913312912369e-39
"121",128,19,500,3.88752226691887e-38
"122",128,20,500,8.68921684214949e-37
"123",128,21,500,1.80719003441915e-35
"124",128,22,500,3.47215785323266e-34
"125",128,23,500,6.47465195942688e-33
"126",128,24,500,1.12563279262045e-31
"127",128,25,500,1.71399584552569e-30
"128",128,26,500,2.42440417563122e-29
"129",128,27,500,3.19662078214612e-28
"130",128,28,500,3.91510593363814e-27
"131",128,29,500,4.58469093013415e-26
"132",128,30,500,5.06045597306752e-25
"133",128,31,500,5.17147731981595e-24
"134",128,32,500,5.08136810609778e-23
"135",128,33,500,5.06340355103828e-22
"136",128,34,500,4.44701248493533e-21
"137",128,35,500,4.05398850431989e-20
"138",128,36,500,3.11824212596686e-19
"139",128,37,500,2.30115508066625e-18
"140",128,38,500,1.57488822010332e-17
"141",128,39,500,9.4359040147051e-17
"142",128,40,500,5.45624994917441e-16
"143",128,41,500,2.82728009101228e-15
"144",128,42,500,1.50387405779687e-14
"145",128,43,500,7.52859772738713e-14
"146",128,44,500,3.71029224214755e-13
"147",128,45,500,1.49727620383231e-12
"148",128,46,500,5.945588967198e-12
"149",128,47,500,2.33417495726206e-11
"150",128,48,500,9.12045405248402e-11
"151",128,49,500,3.30945422460414e-10
"152",128,50,500,1.15663689158646e-09
"153",128,51,500,3.57614293984515e-09
"154",128,52,500,1.159530495963e-08
"155",128,53,500,3.7844504109646e-08
