#mc_id,pct_full,cell_generation,num_cells
0,0.25,0,1
0,0.25,1,3
0,0.25,2,5
0,0.25,3,4
0,0.25,4,2
0,0.25,5,1
0,0.5,0,1
0,0.5,1,4
0,0.5,2,9
0,0.5,3,10
0,0.5,4,6
0,0.5,5,2
0,0.75,0,1
0,0.75,1,4
0,0.75,2,9
0,0.75,3,15
0,0.75,4,10
0,0.75,5,6
0,0.75,6,2
0,0.75,7,1
0,1,0,1
0,1,1,4
0,1,2,9
0,1,3,15
0,1,4,16
0,1,5,8
0,1,6,6
0,1,7,3
0,1,8,1
0,1,9,1
1,0.25,0,1
1,0.25,1,4
1,0.25,2,5
1,0.25,3,5
1,0.25,4,1
1,0.5,0,1
1,0.5,1,5
1,0.5,2,7
1,0.5,3,9
1,0.5,4,9
1,0.5,5,1
1,0.75,0,1
1,0.75,1,5
1,0.75,2,9
1,0.75,3,10
1,0.75,4,13
1,0.75,5,8
1,0.75,6,2
1,1,0,1
1,1,1,5
1,1,2,10
1,1,3,12
1,1,4,17
1,1,5,10
1,1,6,6
1,1,7,3
2,0.25,0,1
2,0.25,1,4
2,0.25,2,5
2,0.25,3,4
2,0.25,4,2
2,0.5,0,1
2,0.5,1,4
2,0.5,2,7
2,0.5,3,9
2,0.5,4,6
2,0.5,5,5
2,0.75,0,1
2,0.75,1,4
2,0.75,2,8
2,0.75,3,13
2,0.75,4,11
2,0.75,5,8
2,0.75,6,3
2,1,0,1
2,1,1,4
2,1,2,8
2,1,3,13
2,1,4,15
2,1,5,12
2,1,6,7
2,1,7,4
3,0.25,0,1
3,0.25,1,4
3,0.25,2,5
3,0.25,3,3
3,0.25,4,2
3,0.25,5,1
3,0.5,0,1
3,0.5,1,4
3,0.5,2,5
3,0.5,3,8
3,0.5,4,6
3,0.5,5,4
3,0.5,6,3
3,0.5,7,1
3,0.75,0,1
3,0.75,1,4
3,0.75,2,6
3,0.75,3,10
3,0.75,4,12
3,0.75,5,9
3,0.75,6,4
3,0.75,7,1
3,0.75,8,1
3,1,0,1
3,1,1,4
3,1,2,6
3,1,3,11
3,1,4,13
3,1,5,16
3,1,6,6
3,1,7,4
3,1,8,3
4,0.25,0,1
4,0.25,1,5
4,0.25,2,6
4,0.25,3,3
4,0.25,4,1
4,0.5,0,1
4,0.5,1,5
4,0.5,2,8
4,0.5,3,9
4,0.5,4,6
4,0.5,5,3
4,0.75,0,1
4,0.75,1,5
4,0.75,2,8
4,0.75,3,12
4,0.75,4,12
4,0.75,5,8
4,0.75,6,2
4,1,0,1
4,1,1,5
4,1,2,8
4,1,3,12
4,1,4,16
4,1,5,12
4,1,6,7
4,1,7,2
4,1,8,1
5,0.25,0,1
5,0.25,1,4
5,0.25,2,6
5,0.25,3,3
5,0.25,4,1
5,0.25,5,1
5,0.5,0,1
5,0.5,1,4
5,0.5,2,6
5,0.5,3,7
5,0.5,4,6
5,0.5,5,5
5,0.5,6,2
5,0.5,7,1
5,0.75,0,1
5,0.75,1,4
5,0.75,2,6
5,0.75,3,9
5,0.75,4,9
5,0.75,5,13
5,0.75,6,3
5,0.75,7,3
5,1,0,1
5,1,1,4
5,1,2,6
5,1,3,9
5,1,4,10
5,1,5,17
5,1,6,9
5,1,7,7
5,1,8,1
6,0.25,0,1
6,0.25,1,3
6,0.25,2,5
6,0.25,3,5
6,0.25,4,2
6,0.5,0,1
6,0.5,1,4
6,0.5,2,7
6,0.5,3,10
6,0.5,4,6
6,0.5,5,3
6,0.5,6,1
6,0.75,0,1
6,0.75,1,4
6,0.75,2,7
6,0.75,3,12
6,0.75,4,12
6,0.75,5,9
6,0.75,6,2
6,0.75,7,1
6,1,0,1
6,1,1,4
6,1,2,7
6,1,3,12
6,1,4,18
6,1,5,11
6,1,6,5
6,1,7,4
6,1,8,1
6,1,9,1
7,0.25,0,1
7,0.25,1,4
7,0.25,2,5
7,0.25,3,6
7,0.5,0,1
7,0.5,1,4
7,0.5,2,8
7,0.5,3,10
7,0.5,4,7
7,0.5,5,1
7,0.5,6,1
7,0.75,0,1
7,0.75,1,4
7,0.75,2,8
7,0.75,3,10
7,0.75,4,10
7,0.75,5,9
7,0.75,6,5
7,0.75,7,1
7,1,0,1
7,1,1,4
7,1,2,8
7,1,3,11
7,1,4,10
7,1,5,10
7,1,6,14
7,1,7,6
8,0.25,0,1
8,0.25,1,4
8,0.25,2,5
8,0.25,3,2
8,0.25,4,2
8,0.25,5,2
8,0.5,0,1
8,0.5,1,4
8,0.5,2,7
8,0.5,3,6
8,0.5,4,5
8,0.5,5,3
8,0.5,6,4
8,0.5,7,2
8,0.75,0,1
8,0.75,1,5
8,0.75,2,9
8,0.75,3,10
8,0.75,4,10
8,0.75,5,7
8,0.75,6,4
8,0.75,7,2
8,1,0,1
8,1,1,5
8,1,2,11
8,1,3,11
8,1,4,14
8,1,5,12
8,1,6,7
8,1,7,3
9,0.25,0,1
9,0.25,1,2
9,0.25,2,5
9,0.25,3,5
9,0.25,4,3
9,0.5,0,1
9,0.5,1,3
9,0.5,2,6
9,0.5,3,6
9,0.5,4,8
9,0.5,5,7
9,0.5,6,1
9,0.75,0,1
9,0.75,1,3
9,0.75,2,8
9,0.75,3,9
9,0.75,4,9
9,0.75,5,12
9,0.75,6,5
9,0.75,7,1
9,1,0,1
9,1,1,4
9,1,2,8
9,1,3,10
9,1,4,10
9,1,5,13
9,1,6,9
9,1,7,5
9,1,8,3
9,1,9,1
10,0.25,0,1
10,0.25,1,3
10,0.25,2,5
10,0.25,3,6
10,0.25,4,1
10,0.5,0,1
10,0.5,1,4
10,0.5,2,6
10,0.5,3,9
10,0.5,4,9
10,0.5,5,3
10,0.75,0,1
10,0.75,1,4
10,0.75,2,7
10,0.75,3,10
10,0.75,4,11
10,0.75,5,11
10,0.75,6,4
10,1,0,1
10,1,1,4
10,1,2,7
10,1,3,11
10,1,4,13
10,1,5,17
10,1,6,7
10,1,7,3
10,1,8,1
11,0.25,0,1
11,0.25,1,4
11,0.25,2,6
11,0.25,3,2
11,0.25,4,2
11,0.25,5,1
11,0.5,0,1
11,0.5,1,4
11,0.5,2,6
11,0.5,3,11
11,0.5,4,7
11,0.5,5,3
11,0.75,0,1
11,0.75,1,4
11,0.75,2,6
11,0.75,3,12
11,0.75,4,13
11,0.75,5,10
11,0.75,6,2
11,1,0,1
11,1,1,4
11,1,2,6
11,1,3,12
11,1,4,16
11,1,5,13
11,1,6,6
11,1,7,5
11,1,8,1
12,0.25,0,1
12,0.25,1,3
12,0.25,2,6
12,0.25,3,5
12,0.25,4,1
12,0.5,0,1
12,0.5,1,4
12,0.5,2,7
12,0.5,3,9
12,0.5,4,10
12,0.5,5,1
12,0.75,0,1
12,0.75,1,4
12,0.75,2,7
12,0.75,3,12
12,0.75,4,13
12,0.75,5,8
12,0.75,6,2
12,0.75,7,1
12,1,0,1
12,1,1,4
12,1,2,7
12,1,3,12
12,1,4,14
12,1,5,10
12,1,6,7
12,1,7,6
12,1,8,2
12,1,9,1
13,0.25,0,1
13,0.25,1,3
13,0.25,2,7
13,0.25,3,2
13,0.25,4,2
13,0.25,5,1
13,0.5,0,1
13,0.5,1,3
13,0.5,2,9
13,0.5,3,10
13,0.5,4,4
13,0.5,5,3
13,0.5,6,2
13,0.75,0,1
13,0.75,1,3
13,0.75,2,10
13,0.75,3,11
13,0.75,4,14
13,0.75,5,5
13,0.75,6,3
13,0.75,7,1
13,1,0,1
13,1,1,3
13,1,2,10
13,1,3,12
13,1,4,18
13,1,5,8
13,1,6,7
13,1,7,3
13,1,8,1
13,1,9,1
14,0.25,0,1
14,0.25,1,3
14,0.25,2,6
14,0.25,3,4
14,0.25,4,2
14,0.5,0,1
14,0.5,1,3
14,0.5,2,8
14,0.5,3,8
14,0.5,4,6
14,0.5,5,3
14,0.5,6,2
14,0.5,7,1
14,0.75,0,1
14,0.75,1,4
14,0.75,2,8
14,0.75,3,13
14,0.75,4,11
14,0.75,5,6
14,0.75,6,3
14,0.75,7,2
14,1,0,1
14,1,1,4
14,1,2,9
14,1,3,14
14,1,4,12
14,1,5,11
14,1,6,6
14,1,7,4
14,1,8,2
14,1,9,1
15,0.25,0,1
15,0.25,1,3
15,0.25,2,6
15,0.25,3,5
15,0.25,4,1
15,0.5,0,1
15,0.5,1,3
15,0.5,2,7
15,0.5,3,9
15,0.5,4,10
15,0.5,5,2
15,0.75,0,1
15,0.75,1,3
15,0.75,2,7
15,0.75,3,10
15,0.75,4,12
15,0.75,5,9
15,0.75,6,4
15,0.75,7,2
15,1,0,1
15,1,1,3
15,1,2,7
15,1,3,10
15,1,4,13
15,1,5,9
15,1,6,9
15,1,7,9
15,1,8,2
15,1,9,1
16,0.25,0,1
16,0.25,1,1
16,0.25,2,5
16,0.25,3,5
16,0.25,4,3
16,0.25,5,1
16,0.5,0,1
16,0.5,1,2
16,0.5,2,5
16,0.5,3,6
16,0.5,4,7
16,0.5,5,6
16,0.5,6,4
16,0.5,7,1
16,0.75,0,1
16,0.75,1,2
16,0.75,2,6
16,0.75,3,7
16,0.75,4,7
16,0.75,5,9
16,0.75,6,9
16,0.75,7,4
16,0.75,8,2
16,0.75,9,1
16,1,0,1
16,1,1,2
16,1,2,6
16,1,3,9
16,1,4,8
16,1,5,11
16,1,6,11
16,1,7,8
16,1,8,6
16,1,9,1
16,1,10,1
17,0.25,0,1
17,0.25,1,4
17,0.25,2,5
17,0.25,3,4
17,0.25,4,2
17,0.5,0,1
17,0.5,1,5
17,0.5,2,5
