"","cells_side","ancestor_1s","batch_id","mean_time","n","sd_time","size_str","size_factor","restraint_value","mean_time_norm","sd_time_norm","mean_rep_rate","rep_rate_diff"
"1",16,0,1,3947.1172,100,548.563895607247,"16x16","16x16",-60,1,0.138978365174271,1,0
"2",16,0,2,4042.3783,100,441.126812379514,"16x16","16x16",-60,1,0.109125564121377,1,0
"3",16,0,3,4184.2853,100,451.305195540813,"16x16","16x16",-60,1,0.107857175881581,1,0
"4",16,0,4,4095.2097,100,419.612609394112,"16x16","16x16",-60,1,0.102464254612923,1,0
"5",16,0,5,4044.9509,100,451.203605869553,"16x16","16x16",-60,1,0.11154736287888,1,0
"6",16,0,6,4149.6308,100,454.272620967817,"16x16","16x16",-60,1,0.109473021302959,1,0
"7",16,0,7,4068.9922,100,460.93511268093,"16x16","16x16",-60,1,0.113279920438513,1,0
"8",16,0,8,4046.7472,100,403.110073322787,"16x16","16x16",-60,1,0.0996133569506856,1,0
"9",16,0,9,4073.4996,100,407.474467435641,"16x16","16x16",-60,1,0.10003056522594,1,0
"10",16,0,10,4097.9831,100,445.561071615079,"16x16","16x16",-60,1,0.108726917789163,1,0
"11",16,0,11,4102.1711,100,441.639150227795,"16x16","16x16",-60,1,0.107659856076651,1,0
"12",16,0,12,3969.5755,100,403.667729569391,"16x16","16x16",-60,1,0.101690402303569,1,0
"13",16,0,13,4043.2892,100,421.981928725711,"16x16","16x16",-60,1,0.104366001998005,1,0
"14",16,0,14,4108.5037,100,552.839561004297,"16x16","16x16",-60,1,0.134559830384063,1,0
"15",16,0,15,4131.329,100,451.862665512253,"16x16","16x16",-60,1,0.109374650508893,1,0
"16",16,0,16,3987.2987,100,418.233709682104,"16x16","16x16",-60,1,0.104891491997353,1,0
"17",16,0,17,4054.2365,100,403.786772116313,"16x16","16x16",-60,1,0.0995962549585632,1,0
"18",16,0,18,4055.7258,100,462.743894116149,"16x16","16x16",-60,1,0.114096444615696,1,0
"19",16,0,19,4053.1096,100,479.004077243608,"16x16","16x16",-60,1,0.118181871332472,1,0
"20",16,0,20,4008.4564,100,402.34222280486,"16x16","16x16",-60,1,0.100373356388474,1,0
"21",16,0,21,4013.3134,100,416.267078431988,"16x16","16x16",-60,1,0.103721547993732,1,0
"22",16,0,22,4040.5299,100,420.013534470466,"16x16","16x16",-60,1,0.103950111709473,1,0
"23",16,0,23,4047.4541,100,459.016677609239,"16x16","16x16",-60,1,0.113408741956886,1,0
"24",16,0,24,4071.5268,100,442.980978764588,"16x16","16x16",-60,1,0.108799720725058,1,0
"25",16,0,25,3930.6852,100,417.849732256016,"16x16","16x16",-60,1,0.106304552767547,1,0
"26",16,0,26,4066.9231,100,380.932962828213,"16x16","16x16",-60,1,0.0936661336990151,1,0
"27",16,0,27,4072.6093,100,460.051691975374,"16x16","16x16",-60,1,0.112962392924697,1,0
"28",16,0,28,4024.6214,100,423.45752556021,"16x16","16x16",-60,1,0.105216735556843,1,0
"29",16,0,29,4090.4898,100,438.754280757223,"16x16","16x16",-60,1,0.107262040051346,1,0
"30",16,0,30,4091.5971,100,482.349441267952,"16x16","16x16",-60,1,0.117887814826135,1,0
"31",16,1,1,4027.6924,100,585.470614891348,"16x16","16x16",-59,1.02041368318123,0.148328662470764,0.97999469870142,-0.0200053012985797
"32",16,1,2,4118.1965,100,477.035014415646,"16x16","16x16",-59,1.01875583984804,0.118008503661235,0.981589465194291,0.00159476649287027
"33",16,1,3,4086.1106,100,468.346522936929,"16x16","16x16",-59,0.976537283440018,0.111929873170199,1.02402644216238,0.0424369769680922
"34",16,1,4,4042.0552,100,394.057307941857,"16x16","16x16",-59,0.987020322793238,0.0962239633154457,1.01315036469566,-0.01087607746672
"35",16,1,5,4073.1627,100,402.805177531486,"16x16","16x16",-59,1.00697457168145,0.0995822168154095,0.993073736043002,-0.0200766286526611
"36",16,1,6,4083.7996,100,438.672853474655,"16x16","16x16",-59,0.984135648887125,0.105713706741008,1.0161200858142,0.0230463497711993
"37",16,1,7,4086.6924,100,466.939379285486,"16x16","16x16",-59,1.00435002062673,0.114755535605472,0.995668820095195,-0.0204512657190061
"38",16,1,8,4090.2317,100,508.155187749249,"16x16","16x16",-59,1.01074554397665,0.125571270611925,0.989368695176853,-0.0063001249183422
"39",16,1,9,4012.6716,100,406.971881034759,"16x16","16x16",-59,0.985067385301818,0.0999071857119511,1.01515897787399,0.0257902826971405
"40",16,1,10,4063.8863,100,372.586921002782,"16x16","16x16",-59,0.991679614296116,0.0909195845641194,1.00839019536546,-0.00676878250853719
"41",16,1,11,4016.8227,100,410.192312384205,"16x16","16x16",-59,0.979194334434271,0.0999939550020731,1.02124773891564,0.0128575435501799
"42",16,1,12,4082.7716,100,425.938001339741,"16x16","16x16",-59,1.02851592065701,0.107300642433867,0.972274692025388,-0.0489730468902481
"43",16,1,13,4056.6214,100,392.332322186643,"16x16","16x16",-59,1.00329736492754,0.0970329607356908,0.996713471954765,0.0244387799293775
"44",16,1,14,4032.9759,100,451.862435665821,"16x16","16x16",-59,0.981616713646869,0.109982238951329,1.01872756045976,0.0220140885049935
"45",16,1,15,4104.6208,100,458.065700882096,"16x16","16x16",-59,0.993535203804877,0.110876112960768,1.00650686173008,-0.0122206987296811
"46",16,1,16,4010.4222,100,455.388955397626,"16x16","16x16",-59,1.00579928962934,0.114209892375915,0.994234148215118,-0.0122727135149596
"47",16,1,17,4003.8601,100,428.628361657464,"16x16","16x16",-59,0.987574380527628,0.105723571295721,1.01258195809589,0.0183478098807706
"48",16,1,18,4029.7996,100,419.124088633146,"16x16","16x16",-59,0.993607506700773,0.10334132761962,1.00643362017307,-0.00614833792281599
"49",16,1,19,4019.6498,100,407.776629880536,"16x16","16x16",-59,0.991744659458506,0.100608340292731,1.00832405847893,0.00189043830585245
"50",16,1,20,4043.8721,100,485.673707611646,"16x16","16x16",-59,1.00883524640557,0.121162277731559,0.991242131520431,-0.0170819269584943
"51",16,1,21,4050.3563,100,473.009214928614,"16x16","16x16",-59,1.00923000431514,0.117860024320207,0.990854409524417,-0.000387721996014223
"52",16,1,22,4061.6408,100,392.35524799041,"16x16","16x16",-59,1.00522478499664,0.0971048990357453,0.994802371494791,0.0039479619703745
"53",16,1,23,4132.8783,100,427.669068372422,"16x16","16x16",-59,1.02110566244593,0.105663722875183,0.979330579368863,-0.0154717921259284
"54",16,1,24,4052.0772,100,444.004491555405,"16x16","16x16",-59,0.995223020514074,0.109051103766628,1.00479990855061,0.0254693291817444
"55",16,1,25,4027.0968,100,474.223787569463,"16x16","16x16",-59,1.02452793726651,0.12064659555272,0.976059279230636,-0.0287406293199711
"56",16,1,26,4095.1825,100,435.611296104322,"16x16","16x16",-59,1.00694859462673,0.107110777704236,0.993099355156944,0.0170400759263079
"57",16,1,27,4045.3779,100,424.157640497628,"16x16","16x16",-59,0.993313525066104,0.104148866059317,1.00673148483854,0.0136321296815928
"58",16,1,28,4026.444,100,401.414274755866,"16x16","16x16",-59,1.00045286247298,0.0997396363185531,0.99954734251861,-0.00718414231992692
"59",16,1,29,3983.7525,100,434.262710631712,"16x16","16x16",-59,0.973905985537478,0.106163988144332,1.02679315544829,0.027245812929677
"60",16,1,30,4052.9219,100,399.689907633443,"16x16","16x16",-59,0.990547651918123,0.0976855486659337,1.00954254756303,-0.0172506078852555
"61",16,2,1,4008.0295,100,564.618602695526,"16x16","16x16",-58,1.01543209813988,0.143045816500084,0.984802432217627,-0.024740115345404
"62",16,2,2,4019.0635,100,485.294670551206,"16x16","16x16",-58,0.994232405215514,0.120051770155012,1.00580105290698,0.0209986206893499
"63",16,2,3,3986.4151,100,339.746989674551,"16x16","16x16",-58,0.952711111739919,0.081195942751454,1.04963612545016,0.0438350725431798
"64",16,2,4,4084.769,100,404.844236472561,"16x16","16x16",-58,0.997450509066727,0.09885799901103,1.00255600745109,-0.0470801179990621
"65",16,2,5,4119.7406,100,468.373768293976,"16x16","16x16",-58,1.01848964347132,0.115792201159716,0.981846017198267,-0.0207099902528274
"66",16,2,6,4042.1779,100,426.365689850161,"16x16","16x16",-58,0.974105431259089,0.102747861291699,1.02658292204309,0.0447369048448223
"67",16,2,7,4067.2489,100,378.498042795188,"16x16","16x16",-58,0.999571564673926,0.0930200954416152,1.00042861896158,-0.0261543030815108
"68",16,2,8,4047.7419,100,489.631115679762,"16x16","16x16",-58,1.00024580235701,0.120993749172116,0.999754258046937,-0.000674360914641459
"69",16,2,9,4020.7709,100,419.261400018707,"16x16","16x16",-58,0.987055675665219,0.102924129419015,1.01311407720345,0.0133598191565164
"70",16,2,10,3992.7367,100,378.071699236729,"16x16","16x16",-58,0.974317512436789,0.092257993752275,1.02635946417403,0.0132453869705802
"71",16,2,11,4109.6147,100,471.460237434428,"16x16","16x16",-58,1.00181455132381,0.114929442468752,0.998188735308933,-0.0281707288651011
"72",16,2,12,4044.3967,100,489.506383408931,"16x16","16x16",-58,1.01884866530439,0.123314541670496,0.981500034356175,-0.0166887009527579
"73",16,2,13,4054.6243,100,451.072872130693,"16x16","16x16",-58,1.00280343538127,0.111560872798981,0.99720440189736,0.0157043675411846
"74",16,2,14,4080.7243,100,429.102285033204,"16x16","16x16",-58,0.993238560306031,0.104442472580274,1.00680746797817,0.00960306608081285
"75",16,2,15,4098.1474,100,454.627699620094,"16x16","16x16",-58,0.991968298821033,0.110043934922659,1.00809673170858,0.00128926373040383
